State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,54.0,626997,856350,2399901,275970,1377,15422,617,281752,574728,748939,84661,566108,5512,45202,344167,143143,488596,495794
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,57.0,972486,1338474,3599372,443456,932,20463,1417,582075,827622,1208544,105343,897970,8606,48299,720357,162175,583135,154127
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,64.0,1183084,1484794,3737588,397870,867,24129,1322,673197,731134,1202223,57269,944555,13763,67087,770836,265199,785760,159165
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,64.0,1571644,1716933,4983330,77777,738,77825,4149,797497,547850,1545831,57853,1297273,22411,93784,947606,271809,945269,213195
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,61.0,1325715,1634726,4217597,559770,764,89763,3282,674957,939254,1442370,47436,1186028,19383,80434,845810,246580,957407,247089
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,73.0,1349467,1542688,2046051,1713405,11446,87522,19560,685215,367712,1045585,46157,869721,149034,274653,596591,517425,247927,48937
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,58.0,949591,1257238,3491139,244723,2086,24979,312,482842,827305,1049463,168340,926768,8831,46584,453505,293493,709757,106745
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,58.0,728594,901640,2595321,158887,655,33463,459,329630,607156,802906,19799,668519,8628,42171,346118,154774,462896,765565
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,67.0,1410759,1598959,4023678,307043,1393,145598,6320,630603,721581,1327299,48444,1163932,30438,101450,692968,312753,871063,132464
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,52.0,880792,1246369,3328380,670737,737,33165,2235,466940,865303,1164122,60791,816721,10081,56478,672951,152453,737945,82831
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,2050386,2002642,1940646,48.0,782260,1158386,3673456,334172,658,21345,388,441585,942434,1140067,57846,757821,6153,60812,596134,169083,708954,364269
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,3033288,1523030,1510258,1637137,54.0,683731,953406,2637313,342449,1309,34301,457,481984,604329,837874,67642,604719,8635,47170,503713,201928,537947,168985
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,3488809,1759772,1729037,2001019,57.0,840262,1160757,3249231,188646,937,35025,250,471233,765265,976428,45124,789225,7715,53777,518669,238695,637385,394279
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,2551335,1250641,1300694,1389810,54.0,599596,790214,2123426,391596,2357,19653,542,338668,576756,684320,171311,545913,5261,35036,421399,223365,371074,192941
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,3397448,1714764,1682684,1904435,56.0,796749,1107686,3150195,220654,266,18775,204,368919,708725,991842,42603,763746,6151,43611,495556,142026,787861,151145
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,2703114,1341738,1361376,1495381,55.0,637557,857824,2666950,9025,193,18879,160,319244,523805,766483,34479,615432,3988,32280,348354,146721,255664,166118
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,2344474,1161477,1182997,1238388,53.0,530885,707503,2299129,16423,380,17853,815,257468,478673,679289,27469,527736,4453,24128,300057,115144,247728,235556
